Epoch,Loss_train
601,"(0.10027945786714554,)"
602,"(0.10023897141218185,)"
603,"(0.10019848495721817,)"
604,"(0.10015781223773956,)"
605,"(0.10011705756187439,)"
606,"(0.10007627308368683,)"
607,"(0.10003550350666046,)"
608,"(0.09999465197324753,)"
609,"(0.0999537855386734,)"
610,"(0.09991287440061569,)"
611,"(0.09987187385559082,)"
612,"(0.09983085095882416,)"
613,"(0.09978968650102615,)"
614,"(0.09974849969148636,)"
615,"(0.09970732033252716,)"
616,"(0.09966615587472916,)"
617,"(0.09962502866983414,)"
618,"(0.09958384931087494,)"
619,"(0.09954269230365753,)"
620,"(0.09950143098831177,)"
621,"(0.09946004301309586,)"
622,"(0.09941868484020233,)"
623,"(0.09937725961208344,)"
624,"(0.09933578968048096,)"
625,"(0.09929429739713669,)"
626,"(0.09925274550914764,)"
627,"(0.09921105206012726,)"
628,"(0.09916932880878448,)"
629,"(0.09912753850221634,)"
630,"(0.099085733294487,)"
631,"(0.09904392808675766,)"
632,"(0.09900213778018951,)"
633,"(0.09896032512187958,)"
634,"(0.09891829639673233,)"
635,"(0.09887632727622986,)"
636,"(0.09883425384759903,)"
637,"(0.098792165517807,)"
638,"(0.09875010699033737,)"
639,"(0.09870795160531998,)"
640,"(0.09866565465927124,)"
641,"(0.0986233800649643,)"
642,"(0.09858105331659317,)"
643,"(0.09853866696357727,)"
644,"(0.09849627315998077,)"
645,"(0.09845391660928726,)"
646,"(0.0984114557504654,)"
647,"(0.09836895018815994,)"
648,"(0.09832634776830673,)"
649,"(0.0982835665345192,)"
650,"(0.09824079275131226,)"
651,"(0.09819800406694412,)"
652,"(0.09815512597560883,)"
653,"(0.09811233729124069,)"
654,"(0.0980694591999054,)"
655,"(0.09802661091089249,)"
656,"(0.09798368811607361,)"
657,"(0.09794067591428757,)"
658,"(0.09789761900901794,)"
659,"(0.09785445034503937,)"
660,"(0.0978112742304802,)"
661,"(0.09776803851127625,)"
662,"(0.09772469848394394,)"
663,"(0.09768129885196686,)"
664,"(0.09763791412115097,)"
665,"(0.09759435802698135,)"
666,"(0.09755073487758636,)"
667,"(0.09750709682703018,)"
668,"(0.0974634438753128,)"
669,"(0.09741964191198349,)"
670,"(0.09737578779459,)"
671,"(0.09733191877603531,)"
672,"(0.09728791564702988,)"
673,"(0.09724389016628265,)"
674,"(0.09719990938901901,)"
675,"(0.09715589880943298,)"
676,"(0.09711186587810516,)"
677,"(0.09706786274909973,)"
678,"(0.09702376276254654,)"
679,"(0.09697955846786499,)"
680,"(0.09693526476621628,)"
681,"(0.0968909040093422,)"
682,"(0.09684649854898453,)"
683,"(0.09680204093456268,)"
684,"(0.09675754606723785,)"
685,"(0.09671295434236526,)"
686,"(0.0966683179140091,)"
687,"(0.09662354737520218,)"
688,"(0.09657876938581467,)"
689,"(0.09653378278017044,)"
690,"(0.09648869186639786,)"
691,"(0.09644357860088348,)"
692,"(0.09639835357666016,)"
693,"(0.09635307639837265,)"
694,"(0.09630770236253738,)"
695,"(0.09626231342554092,)"
696,"(0.09621689468622208,)"
697,"(0.09617135673761368,)"
698,"(0.0961257666349411,)"
699,"(0.09608016908168793,)"
700,"(0.09603449702262878,)"
701,"(0.09598875790834427,)"
702,"(0.0959429070353508,)"
703,"(0.0958971381187439,)"
704,"(0.09585127979516983,)"
705,"(0.09580536186695099,)"
706,"(0.09575933963060379,)"
707,"(0.09571319818496704,)"
708,"(0.09566698223352432,)"
709,"(0.09562073647975922,)"
710,"(0.09557444602251053,)"
711,"(0.09552799165248871,)"
712,"(0.09548161923885345,)"
713,"(0.09543534368276596,)"
714,"(0.0953889787197113,)"
715,"(0.0953424945473671,)"
716,"(0.09529609978199005,)"
717,"(0.09524975717067719,)"
718,"(0.0952032282948494,)"
719,"(0.09515673667192459,)"
720,"(0.09511012583971024,)"
721,"(0.09506340324878693,)"
722,"(0.09501670300960541,)"
723,"(0.09496990591287613,)"
724,"(0.09492302685976028,)"
725,"(0.09487598389387131,)"
726,"(0.09482897818088531,)"
727,"(0.09478194266557693,)"
728,"(0.09473478049039841,)"
729,"(0.09468763321638107,)"
730,"(0.09464037418365479,)"
731,"(0.09459295123815536,)"
732,"(0.09454550594091415,)"
733,"(0.09449788928031921,)"
734,"(0.09445032477378845,)"
735,"(0.09440268576145172,)"
736,"(0.09435498714447021,)"
737,"(0.09430723637342453,)"
738,"(0.0942593663930893,)"
739,"(0.09421151876449585,)"
740,"(0.09416361898183823,)"
741,"(0.09411556273698807,)"
742,"(0.0940675362944603,)"
743,"(0.09401948004961014,)"
744,"(0.09397128224372864,)"
745,"(0.09392309188842773,)"
746,"(0.09387470781803131,)"
747,"(0.09382621198892593,)"
748,"(0.09377774596214294,)"
749,"(0.09372913092374802,)"
750,"(0.09368044137954712,)"
751,"(0.09363174438476562,)"
752,"(0.0935831293463707,)"
753,"(0.09353446215391159,)"
754,"(0.09348580986261368,)"
755,"(0.09343709796667099,)"
756,"(0.09338837116956711,)"
757,"(0.09333952516317368,)"
758,"(0.09329067170619965,)"
759,"(0.09324175864458084,)"
